semana,demanda_real,lag_1,lag_2,lag_3,lag_4,promedio_movil_4,promedio_movil_8,mes,semana_del_anio,trimestre,demanda_predicha,quiebre_stock
2017-01-02,47,1.0,40.0,322.0,1.0,102.5,52.125,1,1,1,102.5,0
2017-01-09,89,47.0,1.0,40.0,322.0,44.25,63.0,1,2,1,44.25,1
2017-01-16,239,89.0,47.0,1.0,40.0,94.0,92.75,1,3,1,94.0,1
2017-01-23,420,239.0,89.0,47.0,1.0,198.75,144.875,1,4,1,198.75,1
2017-01-30,522,420.0,239.0,89.0,47.0,317.5,210.0,1,5,1,317.5,1
2017-02-06,587,522.0,420.0,239.0,89.0,442.0,243.125,2,6,1,442.0,1
2017-02-13,451,587.0,522.0,420.0,239.0,495.0,294.5,2,7,1,495.0,0
2017-02-20,431,451.0,587.0,522.0,420.0,497.75,348.25,2,8,1,497.75,0
2017-02-27,557,431.0,451.0,587.0,522.0,506.5,412.0,2,9,1,506.5,1
2017-03-06,664,557.0,431.0,451.0,587.0,525.75,483.875,3,10,1,525.75,1
2017-03-13,695,664.0,557.0,431.0,451.0,586.75,540.875,3,11,1,586.75,1
2017-03-20,727,695.0,664.0,557.0,431.0,660.75,579.25,3,12,1,660.75,1
2017-03-27,624,727.0,695.0,664.0,557.0,677.5,592.0,3,13,1,677.5,0
2017-04-03,653,624.0,727.0,695.0,664.0,674.75,600.25,4,14,2,674.75,0
2017-04-10,476,653.0,624.0,727.0,695.0,620.0,603.375,4,15,2,620.0,0
2017-04-17,641,476.0,653.0,624.0,727.0,598.5,629.625,4,16,2,598.5,1
2017-04-24,767,641.0,476.0,653.0,624.0,634.25,655.875,4,17,2,634.25,1
2017-05-01,870,767.0,641.0,476.0,653.0,688.5,681.625,5,18,2,688.5,1
2017-05-08,892,870.0,767.0,641.0,476.0,792.5,706.25,5,19,2,792.5,1
2017-05-15,1052,892.0,870.0,767.0,641.0,895.25,746.875,5,20,2,895.25,1
2017-05-22,884,1052.0,892.0,870.0,767.0,924.5,779.375,5,21,2,924.5,0
2017-05-29,916,884.0,1052.0,892.0,870.0,936.0,812.25,5,22,2,936.0,0
2017-06-05,938,916.0,884.0,1052.0,892.0,947.5,870.0,6,23,2,947.5,0
2017-06-12,847,938.0,916.0,884.0,1052.0,896.25,895.75,6,24,2,896.25,0
2017-06-19,737,847.0,938.0,916.0,884.0,859.5,892.0,6,25,2,859.5,0
2017-06-26,795,737.0,847.0,938.0,916.0,829.25,882.625,6,26,2,829.25,0
2017-07-03,912,795.0,737.0,847.0,938.0,822.75,885.125,7,27,3,822.75,1
2017-07-10,1089,912.0,795.0,737.0,847.0,883.25,889.75,7,28,3,883.25,1
2017-07-17,1092,1089.0,912.0,795.0,737.0,972.0,915.75,7,29,3,972.0,1
2017-07-24,1048,1092.0,1089.0,912.0,795.0,1035.25,932.25,7,30,3,1035.25,1
2017-07-31,1098,1048.0,1092.0,1089.0,912.0,1081.75,952.25,7,31,3,1081.75,1
2017-08-07,1062,1098.0,1048.0,1092.0,1089.0,1075.0,979.125,8,32,3,1075.0,0
2017-08-14,1168,1062.0,1098.0,1048.0,1092.0,1094.0,1033.0,8,33,3,1094.0,1
2017-08-21,1051,1168.0,1062.0,1098.0,1048.0,1094.75,1065.0,8,34,3,1094.75,0
2017-08-28,1140,1051.0,1168.0,1062.0,1098.0,1105.25,1093.5,8,35,3,1105.25,1
2017-09-04,1007,1140.0,1051.0,1168.0,1062.0,1091.5,1083.25,9,36,3,1091.5,0
