semana,demanda_real,prediccion_baseline,prediccion_rf,prediccion_rf_ajustado,error_baseline,error_rf,error_rf_ajustado,quiebre_baseline,quiebre_rf,quiebre_rf_ajustado
2017-12-04,1875.0,2374.0,2721.5233333333335,2939.2452000000003,499.0,846.5233333333335,1064.2452000000003,0,0,0
2017-12-11,1571.0,1875.0,2332.806666666667,2519.4312000000004,304.0,761.8066666666668,948.4312000000004,0,0,0
2017-12-18,1094.0,1571.0,1942.1466666666668,2097.5184000000004,477.0,848.1466666666668,1003.5184000000004,0,0,0
2017-12-25,960.0,1094.0,1646.4066666666668,1778.1192000000003,134.0,686.4066666666668,818.1192000000003,0,0,0
2018-01-01,1561.0,960.0,1087.98,1175.0184000000002,601.0,473.02,385.98159999999984,1,1,1
2018-01-08,2004.0,1561.0,2180.1866666666665,2354.6016,443.0,176.1866666666665,350.60159999999996,1,0,0
2018-01-15,1960.0,2004.0,2280.0133333333333,2462.4144,44.0,320.0133333333333,502.4144000000001,0,0,0
2018-01-22,1797.0,1960.0,1992.4333333333334,2151.8280000000004,163.0,195.4333333333334,354.82800000000043,0,0,0
2018-01-29,1841.0,1797.0,1787.4366666666667,1930.4316000000001,44.0,53.563333333333276,89.43160000000012,1,1,0
2018-02-05,1762.0,1841.0,1839.7,1986.8760000000002,79.0,77.70000000000005,224.8760000000002,0,0,0
2018-02-12,1877.0,1762.0,1791.9766666666667,1935.3348,115.0,85.02333333333331,58.33480000000009,1,1,0
2018-02-19,2020.0,1877.0,1813.5733333333333,1958.6592,143.0,206.42666666666673,61.340799999999945,1,1,1
2018-02-26,2157.0,2020.0,1846.9133333333334,1994.6664000000003,137.0,310.0866666666666,162.3335999999997,1,1,1
2018-03-05,1865.0,2157.0,1992.8266666666666,2152.2528,292.0,127.8266666666666,287.2528000000002,0,0,0
2018-03-12,1804.0,1865.0,1906.2133333333334,2058.7104000000004,61.0,102.21333333333337,254.7104000000004,0,0,0
2018-03-19,1996.0,1804.0,1881.06,2031.5448000000001,192.0,114.94000000000005,35.54480000000012,1,1,0
2018-03-26,1685.0,1996.0,1961.57,2118.4956,311.0,276.56999999999994,433.4956000000002,0,0,0
2018-04-02,1800.0,1685.0,1833.7833333333333,1980.486,115.0,33.7833333333333,180.4860000000001,1,0,0
2018-04-09,1807.0,1800.0,1864.9966666666667,2014.1964,7.0,57.99666666666667,207.19640000000004,1,0,0
2018-04-16,1932.0,1807.0,1888.2833333333333,2039.346,125.0,43.7166666666667,107.346,1,1,0
2018-04-23,1919.0,1932.0,1914.4833333333333,2067.6420000000003,13.0,4.5166666666666515,148.64200000000028,0,1,0
2018-04-30,2028.0,1919.0,1910.2833333333333,2063.106,109.0,117.7166666666667,35.10600000000022,1,1,0
2018-05-07,2295.0,2028.0,1948.1933333333334,2104.0488,267.0,346.8066666666666,190.95119999999997,1,1,1
2018-05-14,2136.0,2295.0,1983.9833333333333,2142.702,159.0,152.01666666666665,6.7020000000002256,0,1,0
2018-05-21,1107.0,2136.0,2082.733333333333,2249.352,1029.0,975.7333333333331,1142.3519999999999,0,0,0
2018-05-28,1230.0,1107.0,1206.44,1302.9552,123.0,23.559999999999945,72.9552000000001,1,1,0
2018-06-04,1676.0,1230.0,1223.56,1321.4448,446.0,452.44000000000005,354.5552,1,1,1
2018-06-11,1729.0,1676.0,2032.6366666666668,2195.2476,53.0,303.63666666666677,466.24760000000015,1,0,0
2018-06-18,1651.0,1729.0,1953.7133333333334,2110.0104,78.0,302.71333333333337,459.0104000000001,0,0,0
2018-06-25,1622.0,1651.0,1767.5766666666666,1908.9828,29.0,145.5766666666666,286.9828,0,0,0
2018-07-02,1345.0,1622.0,1676.0733333333333,1810.1592,277.0,331.07333333333327,465.15920000000006,0,0,0
2018-07-09,1099.0,1345.0,1379.5766666666666,1489.9428,246.0,280.5766666666666,390.94280000000003,0,0,0
2018-07-16,1873.0,1099.0,1208.65,1305.342,774.0,664.3499999999999,567.6579999999999,1,1,1
2018-07-23,1900.0,1873.0,1725.54,1863.5832,27.0,174.46000000000004,36.41679999999997,1,1,1
2018-07-30,2305.0,1900.0,2080.2233333333334,2246.6412,405.0,224.77666666666664,58.358799999999974,1,1,1
2018-08-06,2254.0,2305.0,2068.9866666666667,2234.5056,51.0,185.01333333333332,19.49440000000004,0,1,1
2018-08-13,2054.0,2254.0,1827.5866666666666,1973.7936,200.0,226.4133333333334,80.20640000000003,0,1,1
2018-08-20,1192.0,2054.0,1655.5666666666666,1788.012,862.0,463.5666666666666,596.012,0,0,0
2018-08-27,132.0,1192.0,1255.45,1355.8860000000002,1060.0,1123.45,1223.8860000000002,0,0,0
2018-09-03,1.0,132.0,1088.1666666666667,1175.2200000000003,131.0,1087.1666666666667,1174.2200000000003,0,0,0
