semana,demanda_real,lag_1,prediccion_baseline,error_absoluto,quiebre_baseline
2017-01-02,47,1.0,1.0,46.0,1
2017-01-09,89,47.0,47.0,42.0,1
2017-01-16,239,89.0,89.0,150.0,1
2017-01-23,420,239.0,239.0,181.0,1
2017-01-30,522,420.0,420.0,102.0,1
2017-02-06,587,522.0,522.0,65.0,1
2017-02-13,451,587.0,587.0,136.0,0
2017-02-20,431,451.0,451.0,20.0,0
2017-02-27,557,431.0,431.0,126.0,1
2017-03-06,664,557.0,557.0,107.0,1
2017-03-13,695,664.0,664.0,31.0,1
2017-03-20,727,695.0,695.0,32.0,1
2017-03-27,624,727.0,727.0,103.0,0
2017-04-03,653,624.0,624.0,29.0,1
2017-04-10,476,653.0,653.0,177.0,0
2017-04-17,641,476.0,476.0,165.0,1
2017-04-24,767,641.0,641.0,126.0,1
2017-05-01,870,767.0,767.0,103.0,1
2017-05-08,892,870.0,870.0,22.0,1
2017-05-15,1052,892.0,892.0,160.0,1
2017-05-22,884,1052.0,1052.0,168.0,0
2017-05-29,916,884.0,884.0,32.0,1
2017-06-05,938,916.0,916.0,22.0,1
2017-06-12,847,938.0,938.0,91.0,0
2017-06-19,737,847.0,847.0,110.0,0
2017-06-26,795,737.0,737.0,58.0,1
2017-07-03,912,795.0,795.0,117.0,1
2017-07-10,1089,912.0,912.0,177.0,1
2017-07-17,1092,1089.0,1089.0,3.0,1
2017-07-24,1048,1092.0,1092.0,44.0,0
2017-07-31,1098,1048.0,1048.0,50.0,1
2017-08-07,1062,1098.0,1098.0,36.0,0
2017-08-14,1168,1062.0,1062.0,106.0,1
2017-08-21,1051,1168.0,1168.0,117.0,0
2017-08-28,1140,1051.0,1051.0,89.0,1
2017-09-04,1007,1140.0,1140.0,133.0,0
2017-09-11,1301,1007.0,1007.0,294.0,1
2017-09-18,1136,1301.0,1301.0,165.0,0
2017-09-25,1089,1136.0,1136.0,47.0,0
2017-10-02,1134,1089.0,1089.0,45.0,1
2017-10-09,1195,1134.0,1134.0,61.0,1
2017-10-16,1340,1195.0,1195.0,145.0,1
2017-10-23,1145,1340.0,1340.0,195.0,0
2017-10-30,1101,1145.0,1145.0,44.0,0
2017-11-06,1362,1101.0,1101.0,261.0,1
2017-11-13,1502,1362.0,1362.0,140.0,1
2017-11-20,3497,1502.0,1502.0,1995.0,1
2017-11-27,2374,3497.0,3497.0,1123.0,0
2017-12-04,1875,2374.0,2374.0,499.0,0
2017-12-11,1571,1875.0,1875.0,304.0,0
2017-12-18,1094,1571.0,1571.0,477.0,0
2017-12-25,960,1094.0,1094.0,134.0,0
2018-01-01,1561,960.0,960.0,601.0,1
2018-01-08,2004,1561.0,1561.0,443.0,1
2018-01-15,1960,2004.0,2004.0,44.0,0
2018-01-22,1797,1960.0,1960.0,163.0,0
2018-01-29,1841,1797.0,1797.0,44.0,1
2018-02-05,1762,1841.0,1841.0,79.0,0
2018-02-12,1877,1762.0,1762.0,115.0,1
2018-02-19,2020,1877.0,1877.0,143.0,1
2018-02-26,2157,2020.0,2020.0,137.0,1
2018-03-05,1865,2157.0,2157.0,292.0,0
2018-03-12,1804,1865.0,1865.0,61.0,0
2018-03-19,1996,1804.0,1804.0,192.0,1
2018-03-26,1685,1996.0,1996.0,311.0,0
2018-04-02,1800,1685.0,1685.0,115.0,1
2018-04-09,1807,1800.0,1800.0,7.0,1
2018-04-16,1932,1807.0,1807.0,125.0,1
2018-04-23,1919,1932.0,1932.0,13.0,0
2018-04-30,2028,1919.0,1919.0,109.0,1
2018-05-07,2295,2028.0,2028.0,267.0,1
2018-05-14,2136,2295.0,2295.0,159.0,0
2018-05-21,1107,2136.0,2136.0,1029.0,0
2018-05-28,1230,1107.0,1107.0,123.0,1
2018-06-04,1676,1230.0,1230.0,446.0,1
2018-06-11,1729,1676.0,1676.0,53.0,1
2018-06-18,1651,1729.0,1729.0,78.0,0
2018-06-25,1622,1651.0,1651.0,29.0,0
2018-07-02,1345,1622.0,1622.0,277.0,0
2018-07-09,1099,1345.0,1345.0,246.0,0
2018-07-16,1873,1099.0,1099.0,774.0,1
2018-07-23,1900,1873.0,1873.0,27.0,1
2018-07-30,2305,1900.0,1900.0,405.0,1
2018-08-06,2254,2305.0,2305.0,51.0,0
2018-08-13,2054,2254.0,2254.0,200.0,0
2018-08-20,1192,2054.0,2054.0,862.0,0
2018-08-27,132,1192.0,1192.0,1060.0,0
2018-09-03,1,132.0,132.0,131.0,0
