factor,MAE,WAPE,TQS,quiebres,sobreestimacion,subestimacion_media,cumple_restriccion_wape
1.0,345.3709722222223,22.365870221214866,62.5,30,37.5,281.7873333333334,True
1.02,346.0505666666666,22.409880060981365,58.333333333333336,28,41.66666666666667,276.1433785714285,True
1.04,349.8239555555556,22.654240858416195,52.083333333333336,25,47.91666666666667,283.3864106666666,True
1.05,353.57322916666664,22.897039975175726,47.91666666666667,23,52.083333333333336,295.89934782608685,True
1.06,357.67134722222227,23.162429900657937,47.91666666666667,23,52.083333333333336,284.13399999999996,True
1.08,366.24325000000005,23.717537539968433,45.83333333333333,22,54.166666666666664,272.8587272727272,True
1.1,376.0019166666668,24.349498792514947,41.66666666666667,20,58.333333333333336,274.9592166666665,False
1.12,389.3410333333334,25.213326317777696,37.5,18,62.5,282.30041481481476,False
1.15,411.0395972222221,26.618503078299888,35.41666666666667,17,64.58333333333334,264.4293823529412,False
1.2,458.8053333333333,29.711763198014058,20.833333333333336,10,79.16666666666666,379.6888,False
