semana,demanda_real,prediccion_baseline,prediccion_rf_inicial,prediccion_rf_optimizado,prediccion_rf_final,error_baseline,error_rf_final,quiebre_baseline,quiebre_rf_final
2018-05-21,1107,2136.0,2081.395,2082.733333333333,2249.352,1029.0,1142.3519999999999,0,0
2018-05-28,1230,1107.0,1296.79,1302.5466666666666,1406.7504000000001,123.0,176.75040000000013,1,0
2018-06-04,1676,1230.0,1334.965,1342.7333333333333,1450.152,446.0,225.84799999999996,1,1
2018-06-11,1729,1676.0,2103.075,2125.6866666666665,2295.7416,53.0,566.7415999999998,1,0
2018-06-18,1651,1729.0,2085.385,2105.5066666666667,2273.9472,78.0,622.9472000000001,0,0
2018-06-25,1622,1651.0,2021.065,2026.0433333333333,2188.1268,29.0,566.1268,0,0
2018-07-02,1345,1622.0,1842.305,1839.5266666666666,1986.6888000000001,277.0,641.6888000000001,0,0
2018-07-09,1099,1345.0,1440.775,1442.2166666666667,1557.594,246.0,458.59400000000005,0,0
2018-07-16,1873,1099.0,1365.665,1392.0233333333333,1503.3852000000002,774.0,369.61479999999983,1,1
2018-07-23,1900,1873.0,1996.1,2031.11,2193.5988,27.0,293.5988000000002,1,0
2018-07-30,2305,1900.0,2185.995,2179.2966666666666,2353.6404,405.0,48.64040000000023,1,0
2018-08-06,2254,2305.0,2154.9,2155.0466666666666,2327.4504,51.0,73.45040000000017,0,0
2018-08-13,2054,2254.0,2065.765,2058.47,2223.1476,200.0,169.14759999999978,0,0
2018-08-20,1192,2054.0,1991.225,1983.73,2142.4284000000002,862.0,950.4284000000002,0,0
2018-08-27,132,1192.0,1298.005,1318.48,1423.9584000000002,1060.0,1291.9584000000002,0,0
2018-09-03,1,132.0,1200.035,1231.8433333333332,1330.3908,131.0,1329.3908,0,0
