semana,demanda_real,lag_1,prediccion_baseline,prediccion_random_forest,error_baseline,error_random_forest,quiebre_baseline,quiebre_modelo
2018-05-21,1107,2136.0,2136.0,2081.395,1029.0,974.395,0,0
2018-05-28,1230,1107.0,1107.0,1296.79,123.0,66.78999999999996,1,0
2018-06-04,1676,1230.0,1230.0,1334.965,446.0,341.0350000000001,1,1
2018-06-11,1729,1676.0,1676.0,2103.075,53.0,374.0749999999998,1,0
2018-06-18,1651,1729.0,1729.0,2085.385,78.0,434.3850000000002,0,0
2018-06-25,1622,1651.0,1651.0,2021.065,29.0,399.06500000000005,0,0
2018-07-02,1345,1622.0,1622.0,1842.305,277.0,497.30500000000006,0,0
2018-07-09,1099,1345.0,1345.0,1440.775,246.0,341.7750000000001,0,0
2018-07-16,1873,1099.0,1099.0,1365.665,774.0,507.33500000000004,1,1
2018-07-23,1900,1873.0,1873.0,1996.1,27.0,96.09999999999991,1,0
2018-07-30,2305,1900.0,1900.0,2185.995,405.0,119.00500000000011,1,1
2018-08-06,2254,2305.0,2305.0,2154.9,51.0,99.09999999999991,0,1
2018-08-13,2054,2254.0,2254.0,2065.765,200.0,11.764999999999873,0,0
2018-08-20,1192,2054.0,2054.0,1991.225,862.0,799.2249999999999,0,0
2018-08-27,132,1192.0,1192.0,1298.005,1060.0,1166.005,0,0
2018-09-03,1,132.0,132.0,1200.035,131.0,1199.035,0,0
