semana,demanda_real,prediccion_baseline,prediccion_rf_inicial,prediccion_rf_optimizado,prediccion_rf_ajustada,quiebre_baseline,quiebre_rf_inicial,quiebre_rf_optimizado,quiebre_rf_ajustado
2018-05-21,1107,2136.0,2081.395,2082.733333333333,2499.2799999999997,0,0,0,0
2018-05-28,1230,1107.0,1296.79,1302.5466666666666,1563.0559999999998,1,0,0,0
2018-06-04,1676,1230.0,1334.965,1342.7333333333333,1611.28,1,1,1,1
2018-06-11,1729,1676.0,2103.075,2125.6866666666665,2550.8239999999996,1,0,0,0
2018-06-18,1651,1729.0,2085.385,2105.5066666666667,2526.6079999999997,0,0,0,0
2018-06-25,1622,1651.0,2021.065,2026.0433333333333,2431.252,0,0,0,0
2018-07-02,1345,1622.0,1842.305,1839.5266666666666,2207.432,0,0,0,0
2018-07-09,1099,1345.0,1440.775,1442.2166666666667,1730.66,0,0,0,0
2018-07-16,1873,1099.0,1365.665,1392.0233333333333,1670.4279999999999,1,1,1,1
2018-07-23,1900,1873.0,1996.1,2031.11,2437.332,1,0,0,0
2018-07-30,2305,1900.0,2185.995,2179.2966666666666,2615.156,1,1,1,0
2018-08-06,2254,2305.0,2154.9,2155.0466666666666,2586.056,0,1,1,0
2018-08-13,2054,2254.0,2065.765,2058.47,2470.1639999999998,0,0,0,0
2018-08-20,1192,2054.0,1991.225,1983.73,2380.476,0,0,0,0
2018-08-27,132,1192.0,1298.005,1318.48,1582.176,0,0,0,0
2018-09-03,1,132.0,1200.035,1231.8433333333332,1478.2119999999998,0,0,0,0
